"","uid","period"
"1588",12252,0
"1589",13026,0
"1590",12901,37
"1591",10934,0
"1592",8672,0
"1593",12458,32
"1594",12117,0
"1595",13340,0
"1596",13331,0
"1597",11993,0
"1598",12406,33
"1599",12456,0
"1600",7870,12
"1601",12997,0
"1602",12873,0
"1603",12511,45
"1604",13003,0
"1605",12916,0
"1606",13001,0
"1607",13045,0
"1608",12877,0
"1609",12795,203
"1610",12128,203
"1611",12745,0
"1612",13057,0
"1613",13048,0
"1614",12793,0
"1615",7704,470
"1616",13040,0
"1617",12171,0
"1618",12312,0
"1619",11823,56
"1620",12346,0
"1621",12342,295
"1622",12354,0
"1623",12706,0
"1624",12423,0
"1625",12072,0
"1626",11001,0
"1627",12648,0
"1628",13445,0
"1629",13918,0
"1630",16901,231
"1631",19026,273
"1632",19139,0
"1633",19003,280
"1634",19107,4
"1635",17987,119
"1636",19159,1
"1637",19214,7
"1638",18932,0
"1639",18919,0
"1640",19065,224
"1641",18439,60
"1642",18425,0
"1643",18909,104
"1644",4374,205
"1645",739,0
"1646",18417,0
"1647",18841,0
"1648",19130,0
"1649",19163,146
"1650",18789,0
"1651",19011,2
"1652",18851,1
"1653",19013,314
"1654",19154,335
"1655",18927,4
"1656",18817,9
"1657",19099,312
"1658",19136,0
"1659",19134,0
"1660",18882,0
"1661",18791,5
"1662",16957,185
"1663",18801,0
"1664",19032,9
"1665",18924,0
"1666",19137,0
"1667",19201,93
"1668",18850,5
"1669",19135,0
"1670",18832,0
"1671",17322,237
"1672",17981,290
