uid,name,Staff,HWP,Location,HWP,Attendees,Paid,TranTrai,Upload,Time,Bulk,Complex,Task,Online,Team,Self,People,Assign,Coord,TranSamp,TimeSamp,WQO,WQC,WQM,WQS,created,access,login,Latest,ActivePeriod,Years,Blog,Comment,Footprint,Forum,Invite,InviteAccepted,Pres,Quiz,Sample,Share
6643,Rafael.MARQUEZ,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,,NA,NA,NA,NA,01-Jul-14,31-Dec-69,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6645,carlos2.garcia,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,,NA,NA,NA,NA,01-Jul-14,31-Dec-69,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6647,Marisol.FLORES,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,,NA,NA,NA,NA,01-Jul-14,31-Dec-69,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6648,abraham.moralesa,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,,NA,NA,NA,NA,01-Jul-14,31-Dec-69,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6649,israel.cruz,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,,NA,NA,NA,NA,01-Jul-14,31-Dec-69,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6650,Irving.OTERO,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,,NA,NA,NA,NA,01-Jul-14,31-Dec-69,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6652,talia.cruz,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,,NA,NA,NA,NA,01-Jul-14,31-Dec-69,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6671,dan29s,0,1,Guangzhou,1,25.76190476,1,1,1,11,11,18,11,0,1,0,10,1,0,1,,NA,NA,NA,NA,01-Jul-14,01-Jul-14,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6677,18126753289,0,1,Guangzhou,1,25.76190476,1,1,1,11,11,18,11,0,1,0,10,1,0,1,,NA,NA,NA,NA,01-Jul-14,01-Jul-14,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6689,373359951,0,1,Guangzhou,1,25.76190476,1,1,1,11,11,18,11,0,1,0,10,1,0,1,,NA,NA,NA,NA,01-Jul-14,01-Jul-14,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6692,emilydeng930,0,1,Guangzhou,1,25.76190476,1,1,1,11,11,18,11,0,1,0,10,1,0,1,,NA,NA,NA,NA,01-Jul-14,01-Jul-14,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6694,arturolois,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,3,1,0,02-Jul-14,02-Jul-14,02-Jul-14,02-Jul-14,0,0.00,0,0,0,0,0,0,0,1,18,0
6696,john4225,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,02-Jul-14,02-Jul-14,02-Jul-14,02-Jul-14,0,0.00,0,0,0,0,0,0,0,1,0,0
6710,krasimir,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,02-Jul-14,31-Dec-69,31-Dec-69,02-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6714,amaliaserrano,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,03-Jul-14,31-Dec-69,31-Dec-69,03-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6715,JustinS,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,06-Jul-14,31-Dec-69,31-Dec-69,06-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6752,Zaira.Leija,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,,NA,NA,NA,NA,09-Jul-14,09-Jul-14,09-Jul-14,09-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
